Hrvatski naziv Znanstveni naziv FAO kod
ARBUN Pagellus erythrinus PAC
BATOGLAVAC (divlji arbun) Pagellus acarne SBA
BEŽMEK Uranoscopus scaber UUC
BUKVA, BUGVA Boops boops BOG
CIPAL BALAVAC, SKOČAC Chelon ramada MGC
CIPAL ZLATAR Chelon auratus MGA
CIPLI Mugilidae MUL
CRVENI BODEČ, ŠKRPINICA Scorpaena notata SNQ
FRATAR Diplodus vulgaris CTB
GAVUN Atherina hepsetus AHH
GAVUNIĆ, OLIGA Atherina boyeri ATB
GIRA OBLICA, MANULA Spicara smaris SPC
GIRA OŠTRULJA Spicara flexuosa PIC
GRDOBINE Lophius spp MNZ
HAMA Argyrosomus regius MGR
IVERAK ZLATOPJEG Pleuronectes platessa PLE
IVERCI Pleuronectidae PLZ
JEGULJA Anguilla anguilla ELE
KANTAR Spondyliosoma cantharus BRB
KANJAC Serranus cabrilla CBR
KAVALA Sciaena umbra CBM
KIRNJA GLAVULJA Polyprion americanus WRF
KIRNJE Epinephelus spp GPX
KOKOTI Triglidae GUX
KOMARČA Sparus aurata SBG
KORAF Umbrina cirrosa COB
KOVAČ Zeus faber JOD
LAMPUGA Coryphaena hippurus DOL
LIST, ŠVOJA Solea solea SOL
LUBIN Dicentrarchus labrax BSS
LUMBRACI, HINCI Symphodus spp. YFX
MODRAŠ Spicara maena BPI
MURINA Muraena helena MMH
OKAN, RUMENAC Pagellus bogaraveo SBR
OSLIĆ Merluccius merluccius HKE
OVČICA Lithognathus mormyrus SSB
PAGAR Pagrus pagrus RPG
PATARAČE Lepidorhombus spp LEZ
PAUCI Trachinus spp WEX
PIC Diplodus puntazzo SHR
PIRKA Serranus scriba SRK
PIŠMOLJ Merlangius merlangus WHG
REPAŠ ZMIJIČNJAK (MAČ) Lepidopus caudatus SFS
ROMB Scophthalmus maximus TUR
SALPA Sarpa salpa SLM
Popis naziva riba i/ili drugih morskih organizama
bijela riba
STRIJELKA Pomatomus saltatrix (saltator) BLU
